institution,fiscal_year,study_level,gender,headcount
Guelph,2021-2022,Graduate,N/A or Another,158
Guelph,2022-2023,Undergraduate,Female,14813
Guelph,2022-2023,Undergraduate,Male,9330
Guelph,2022-2023,Undergraduate,N/A or Another,571
Guelph,2022-2023,Graduate,Female,1594
Guelph,2022-2023,Graduate,Male,1110
Guelph,2022-2023,Graduate,N/A or Another,148
Guelph,2023-2024,Undergraduate,Female,15154
Guelph,2023-2024,Undergraduate,Male,9491
Guelph,2023-2024,Undergraduate,N/A or Another,669
Guelph,2023-2024,Graduate,Female,1614
Guelph,2023-2024,Graduate,Male,1067
Guelph,2023-2024,Graduate,N/A or Another,144
Hearst,2012-2013,Undergraduate,Female,57
Hearst,2012-2013,Undergraduate,Male,12
Hearst,2013-2014,Undergraduate,Female,57
Hearst,2013-2014,Undergraduate,Male,11
Hearst,2014-2015,Undergraduate,Female,56
Hearst,2014-2015,Undergraduate,Male,17
Hearst,2015-2016,Undergraduate,Female,76
Hearst,2015-2016,Undergraduate,Male,33
Hearst,2016-2017,Undergraduate,Female,65
Hearst,2016-2017,Undergraduate,Male,42
Hearst,2017-2018,Undergraduate,Female,83
Hearst,2017-2018,Undergraduate,Male,47
Hearst,2018-2019,Undergraduate,Female,92
Hearst,2018-2019,Undergraduate,Male,55
Hearst,2019-2020,Undergraduate,Female,118
Hearst,2019-2020,Undergraduate,Male,87
Hearst,2020-2021,Undergraduate,Female,94
Hearst,2020-2021,Undergraduate,Male,68
Hearst,2020-2021,Undergraduate,N/A or Another,0
Hearst,2021-2022,Undergraduate,Female,122
Hearst,2021-2022,Undergraduate,Male,91
Hearst,2022-2023,Undergraduate,Female,119
Hearst,2022-2023,Undergraduate,Male,99
Hearst,2022-2023,Graduate,Female,10
Hearst,2023-2024,Undergraduate,Female,162
Hearst,2023-2024,Undergraduate,Male,151
Lakehead,2012-2013,Undergraduate,Female,3707
Lakehead,2012-2013,Undergraduate,Male,2641
Lakehead,2012-2013,Graduate,Female,451
Lakehead,2012-2013,Graduate,Male,301
Lakehead,2013-2014,Undergraduate,Female,3708
Lakehead,2013-2014,Undergraduate,Male,2596
Lakehead,2013-2014,Graduate,Female,484
Lakehead,2013-2014,Graduate,Male,313
