institution,fiscal_year,study_level,gender,headcount
Windsor,2020-2021,Graduate,N/A or Another,73
Windsor,2021-2022,Undergraduate,Female,5855
Windsor,2021-2022,Undergraduate,Male,4382
Windsor,2021-2022,Undergraduate,N/A or Another,354
Windsor,2021-2022,Graduate,Female,2033
Windsor,2021-2022,Graduate,Male,2861
Windsor,2021-2022,Graduate,N/A or Another,31
Windsor,2022-2023,Undergraduate,Female,5695
Windsor,2022-2023,Undergraduate,Male,4203
Windsor,2022-2023,Undergraduate,N/A or Another,298
Windsor,2022-2023,Graduate,Female,2215
Windsor,2022-2023,Graduate,Male,3521
Windsor,2022-2023,Graduate,N/A or Another,19
Windsor,2023-2024,Undergraduate,Female,5767
Windsor,2023-2024,Undergraduate,Male,4409
Windsor,2023-2024,Undergraduate,N/A or Another,322
Windsor,2023-2024,Graduate,Female,2263
Windsor,2023-2024,Graduate,Male,3574
Windsor,2023-2024,Graduate,N/A or Another,31
York,2012-2013,Undergraduate,Female,24361
York,2012-2013,Undergraduate,Male,16886
York,2012-2013,Graduate,Female,2194
York,2012-2013,Graduate,Male,1723
York,2013-2014,Undergraduate,Female,23942
York,2013-2014,Undergraduate,Male,16957
York,2013-2014,Graduate,Female,2201
York,2013-2014,Graduate,Male,1733
York,2014-2015,Undergraduate,Female,23244
York,2014-2015,Undergraduate,Male,16451
York,2014-2015,Graduate,Female,2241
York,2014-2015,Graduate,Male,1795
York,2015-2016,Undergraduate,Female,22941
York,2015-2016,Undergraduate,Male,16662
York,2015-2016,Graduate,Female,2297
York,2015-2016,Graduate,Male,1778
York,2016-2017,Undergraduate,Female,22822
York,2016-2017,Undergraduate,Male,16797
York,2016-2017,Undergraduate,N/A or Another,19
York,2016-2017,Graduate,Female,2332
York,2016-2017,Graduate,Male,1768
York,2017-2018,Undergraduate,Female,23573
York,2017-2018,Undergraduate,Male,17461
York,2017-2018,Undergraduate,N/A or Another,186
York,2017-2018,Graduate,Female,2381
York,2017-2018,Graduate,Male,1850
York,2018-2019,Undergraduate,Female,24238
York,2018-2019,Undergraduate,Male,18279
York,2018-2019,Undergraduate,N/A or Another,459
York,2018-2019,Graduate,Female,2508
York,2018-2019,Graduate,Male,1892
York,2018-2019,Graduate,N/A or Another,21
York,2019-2020,Undergraduate,Female,23846
York,2019-2020,Undergraduate,Male,18609
York,2019-2020,Undergraduate,N/A or Another,586
York,2019-2020,Graduate,Female,2511
York,2019-2020,Graduate,Male,1957
York,2019-2020,Graduate,N/A or Another,31
York,2020-2021,Undergraduate,Female,23652
York,2020-2021,Undergraduate,Male,18414
York,2020-2021,Undergraduate,N/A or Another,784
York,2020-2021,Graduate,Female,2572
York,2020-2021,Graduate,Male,1991
York,2020-2021,Graduate,N/A or Another,39
York,2021-2022,Undergraduate,Female,22675
York,2021-2022,Undergraduate,Male,18127
York,2021-2022,Undergraduate,N/A or Another,865
York,2021-2022,Graduate,Female,2612
York,2021-2022,Graduate,Male,1994
York,2021-2022,Graduate,N/A or Another,62
York,2022-2023,Undergraduate,Female,21901
York,2022-2023,Undergraduate,Male,17515
York,2022-2023,Undergraduate,N/A or Another,840
York,2022-2023,Graduate,Female,2603
York,2022-2023,Graduate,Male,1908
York,2022-2023,Graduate,N/A or Another,71
York,2023-2024,Undergraduate,Female,22300
York,2023-2024,Undergraduate,Male,17833
York,2023-2024,Undergraduate,N/A or Another,915
York,2023-2024,Graduate,Female,2641
York,2023-2024,Graduate,Male,1958
York,2023-2024,Graduate,N/A or Another,83
